source,source_line,citation,cited_file,old_line,resolved_path,new_line,symbol,semantic_assertion,status,reason
plan-sections-0-through-4,128,StockAdjustmentDocumentService.php:336,StockAdjustmentDocumentService.php,336,apps/api/app/Modules/Inventory/Application/Services/StockAdjustmentDocumentService.php,336,cancel(),"cancel() anchors the cited behavior at `* and `write_off` both invert to `adjustment_positive`, and `affectsCOGS()``",mapped,
plan-sections-0-through-4,130,MovementReason.php:49-61,MovementReason.php,49-61,apps/api/app/Modules/Inventory/Domain/Enums/MovementReason.php,49-61,getMovementType(),"getMovementType() anchors the cited behavior at `public function getMovementType(): string { return match ($this) { self::GoodsReceipt, self::CustomerReturn,`",mapped,
plan-sections-0-through-4,150,app/Modules/Document/Domain/Services/DeliveryNoteService.php:240-273,app/Modules/Document/Domain/Services/DeliveryNoteService.php,240-273,apps/api/app/Modules/Document/Domain/Services/DeliveryNoteService.php,250-288,issueStock(),"issueStock() anchors the cited behavior at `private function issueStock(Document $deliveryNote): void { foreach ($deliveryNote->lines as $line) { // D-19 / T4: ONE physical predicate. The former guard read the // PHANTOM `is_service` (§0.15) and therefore issued stock for`",mapped,
plan-sections-0-through-4,153,app/Shared/Domain/Enums/StockMovementReferenceType.php:49,app/Shared/Domain/Enums/StockMovementReferenceType.php,49,apps/api/app/Shared/Domain/Enums/StockMovementReferenceType.php,49,name,"name anchors the cited behavior at `case Document = 'Document';`",mapped,
plan-sections-0-through-4,173,OrderToReceiptService.php:20,OrderToReceiptService.php,20,apps/api/app/Modules/POS/Application/Services/OrderToReceiptService.php,20,__construct(),"__construct() anchors the cited behavior at `private readonly ReceiptCreationService $receiptCreationService,`",mapped,
plan-sections-0-through-4,174,ExchangeService.php:74,ExchangeService.php,74,apps/api/app/Modules/POS/Application/Services/ExchangeService.php,74,__construct(),"__construct() anchors the cited behavior at `private readonly ReceiptCreationService $createService,`",mapped,
plan-sections-0-through-4,176,POS/routes.php:164-171,POS/routes.php,164-171,apps/api/app/Modules/POS/routes.php,164-171,"routes.php file scope","routes.php file scope anchors the cited behavior at `Route::post('/pos/receipts', function () { return response()->json([ 'error' => [ 'code' => 'NEW_SALE_AUTHORING_RETIRED', 'message' => 'POST /api/v1/pos/receipts is retired for new-sale SALE_RECEIPT authoring per fiscal Phase 1 §14.2. Receipts are now device-authored and ingested via POST /api/v1/pos/sync/fiscal-events`",mapped,
plan-sections-0-through-4,176,routes_orders.php:43-50,routes_orders.php,43-50,apps/api/app/Modules/POS/routes_orders.php,43-50,"routes_orders.php file scope","routes_orders.php file scope anchors the cited behavior at `Route::post('/pos/orders/{id}/close', function (string $id) { return response()->json([ 'error' => [ 'code' => 'NEW_SALE_AUTHORING_RETIRED', 'message' => 'POST /api/v1/pos/orders/{id}/close is retired for new-sale SALE_RECEIPT authoring per fiscal Phase 1 §14.2. Receipts are now device-authored and ingested via POST /a`",mapped,
plan-sections-0-through-4,201,GeneralLedgerService.php:4442,GeneralLedgerService.php,4442,apps/api/app/Modules/Accounting/Domain/Services/GeneralLedgerService.php,4707,createInventoryWriteOffEntry(),"createInventoryWriteOffEntry() anchors the cited behavior at `'journal_code' => JournalCode::fromSourceType('batch_write_off')->value,`",mapped,
plan-sections-0-through-4,211,BatchWriteOffService.php:122,BatchWriteOffService.php,122,apps/api/app/Modules/BatchExpiry/Domain/Services/BatchWriteOffService.php,122,writeOff(),"writeOff() anchors the cited behavior at `} catch (\RuntimeException $e) {`",mapped,
plan-sections-0-through-4,232,GLIntegrationTest.php:380,GLIntegrationTest.php,380,apps/api/tests/Feature/Accounting/GLIntegrationTest.php,380,test_cogs_posting_without_company_context_assigns_verifiable_chain_sequence(),"test_cogs_posting_without_company_context_assigns_verifiable_chain_sequence() anchors the cited behavior at `public function test_cogs_posting_without_company_context_assigns_verifiable_chain_sequence(): void`",mapped,
plan-sections-0-through-4,234,PostCOGSOnInvoice.php:79,PostCOGSOnInvoice.php,79,apps/api/app/Modules/Inventory/Listeners/PostCOGSOnInvoice.php,79,handle(),"handle() anchors the cited behavior at `documentNumber: $event->documentNumber,`",mapped,
plan-sections-0-through-4,235,PostCOGSOnInvoice.php:37,PostCOGSOnInvoice.php,37,apps/api/app/Modules/Inventory/Listeners/PostCOGSOnInvoice.php,37,__construct(),"__construct() anchors the cited behavior at `blank-line boundary immediately within the named symbol`",mapped,
plan-sections-0-through-4,240,app/Modules/Accounting/Domain/Enums/JournalCode.php:32-42,app/Modules/Accounting/Domain/Enums/JournalCode.php,32-42,apps/api/app/Modules/Accounting/Domain/Enums/JournalCode.php,32-42,fromSourceType(),"fromSourceType() anchors the cited behavior at `public static function fromSourceType(string $sourceType): self { return match ($sourceType) { 'invoice', 'credit_note' => self::Sales, 'supplier_invoice' => self::Purchase,`",mapped,
plan-sections-0-through-4,253,FranceChartOfAccountsSeeder.php:281,FranceChartOfAccountsSeeder.php,281,apps/api/database/seeders/FranceChartOfAccountsSeeder.php,289,aware,"aware anchors the cited behavior at `'system_purpose' => SystemAccountPurpose::CostOfGoodsSold->value, 'is_system' => true],`",mapped,
plan-sections-0-through-4,281,DocumentPostingService.php:623-624,DocumentPostingService.php,623-624,apps/api/app/Modules/Document/Domain/Services/DocumentPostingService.php,643-644,validateDeliveryCompliance(),"validateDeliveryCompliance() anchors the cited behavior at `// policy. Flattening it into the generic `\DomainException` below would // make the control depend on the entry point: every non-controller`",mapped,
plan-sections-0-through-4,294,DeliveryNoteService.php:243,DeliveryNoteService.php,243,apps/api/app/Modules/Document/Domain/Services/DeliveryNoteService.php,253,issueStock(),"issueStock() anchors the cited behavior at `// D-19 / T4: ONE physical predicate. The former guard read the`",mapped,
plan-sections-0-through-4,295,ReturnNoteService.php:647,ReturnNoteService.php,647,apps/api/app/Modules/Document/Domain/Services/ReturnNoteService.php,659,receiveStockBack(),"receiveStockBack() anchors the cited behavior at `$product = PhysicalLinePredicate::physicalProductFor($line);`",mapped,
plan-sections-0-through-4,295,SalesOrderService.php:118,SalesOrderService.php,118,apps/api/app/Modules/Document/Domain/Services/SalesOrderService.php,119,confirmAndReserveStock(),"confirmAndReserveStock() anchors the cited behavior at `// `product_id === null` skip further down (which ran AFTER the`",mapped,
plan-sections-0-through-4,296,RefundService.php:1094-1099,RefundService.php,1094-1099,apps/api/app/Modules/Document/Domain/Services/RefundService.php,1112-1117,cancellationBlockReason(),"cancellationBlockReason() anchors the cited behavior at `* The predicate is {@see PhysicalLinePredicate}, which is EXACTLY what * `ReturnNoteService::receiveStockBack()` keys on. That identity is the whole * point: the read model must not claim a return decision is needed for a line * that would not restock, nor the reverse. *`",mapped,
plan-sections-0-through-4,300,DocumentPostingService.php:605,DocumentPostingService.php,605,apps/api/app/Modules/Document/Domain/Services/DocumentPostingService.php,630,validateDeliveryCompliance(),"validateDeliveryCompliance() anchors the cited behavior at `return;`",mapped,
plan-sections-0-through-4,300,InvoiceController.php:892,InvoiceController.php,892,apps/api/app/Modules/Document/Presentation/Controllers/InvoiceController.php,1132,closeWithTolerance(),"closeWithTolerance() anchors the cited behavior at `}`",mapped,
plan-sections-0-through-4,300,Document.php:926,Document.php,926,apps/api/app/Modules/Document/Domain/Document.php,926,getFulfillmentStatus(),"getFulfillmentStatus() anchors the cited behavior at `->whereHas('product', fn (Builder $q) => $q->whereRaw('is_physical = true'))`",mapped,
plan-sections-0-through-4,301,PostCOGSOnInvoice.php:136,PostCOGSOnInvoice.php,136,apps/api/app/Modules/Inventory/Listeners/PostCOGSOnInvoice.php,136,extractPhysicalProductLines(),"extractPhysicalProductLines() anchors the cited behavior at `$product = $line->product;`",mapped,
plan-sections-0-through-4,302,GoodsReceiptService.php:480,GoodsReceiptService.php,480,apps/api/app/Modules/Inventory/Application/Services/GoodsReceiptService.php,519,processReceiptLines(),"processReceiptLines() anchors the cited behavior at `if ($product === null || ! $product->isPhysical()) {`",mapped,
plan-sections-0-through-4,330,GeneralLedgerService.php:4609-4612,GeneralLedgerService.php,4609-4612,apps/api/app/Modules/Accounting/Domain/Services/GeneralLedgerService.php,4874-4877,generateEntryNumber(),"generateEntryNumber() anchors the cited behavior at `if (DB::connection()->getDriverName() === 'pgsql') { DB::statement('SELECT pg_advisory_xact_lock(hashtextextended(?, 0))', [$companyId]); }`",mapped,
plan-sections-0-through-4,332,GeneralLedgerService.php:3256-3258,GeneralLedgerService.php,3256-3258,apps/api/app/Modules/Accounting/Domain/Services/GeneralLedgerService.php,3521-3523,sealAndPersistEntry(),"sealAndPersistEntry() anchors the cited behavior at `if (DB::connection()->getDriverName() === 'pgsql') { DB::statement('SELECT pg_advisory_xact_lock(hashtextextended(?, 0))', [$entry->company_id]); }`",mapped,
plan-sections-0-through-4,335,GeneralLedgerService.php:3248-3255,GeneralLedgerService.php,3248-3255,apps/api/app/Modules/Accounting/Domain/Services/GeneralLedgerService.php,3513-3520,sealAndPersistEntry(),"sealAndPersistEntry() anchors the cited behavior at `// Serialize chain-sequence + hash reads per company via a transaction-scoped // advisory lock (released at commit). Concurrent posts to one company would // otherwise race on these unlocked max() reads and allocate duplicate // chain_sequence — an FEC-sequentiality break (Task 7). This is step 1 of // every converged `",mapped,
plan-sections-0-through-4,342,ProductCostLock.php:44-49,ProductCostLock.php,44-49,apps/api/app/Modules/Inventory/Domain/Services/ProductCostLock.php,44-49,acquire(),"acquire() anchors the cited behavior at `sort($sorted, SORT_STRING); foreach ($sorted as $productId) { DB::statement('SELECT pg_advisory_xact_lock(hashtext(?))', [""wac:{$tenantId}:{$companyId}:{$productId}""]); }`",mapped,
plan-sections-0-through-4,349,GoodsReceiptService.php:543-552,GoodsReceiptService.php,543-552,apps/api/app/Modules/Inventory/Application/Services/GoodsReceiptService.php,582-591,processReceiptLines(),"processReceiptLines() anchors the cited behavior at `$pendingGlPostings[] = [ 'event' => new GoodsReceived( tenantId: $purchaseOrder->tenant_id, companyId: $purchaseOrder->company_id, productId: (string) $product->id,`",mapped,
plan-sections-0-through-4,350,EventServiceProvider.php:145-147,EventServiceProvider.php,145-147,apps/api/app/Providers/EventServiceProvider.php,145-147,EventServiceProvider,"EventServiceProvider anchors the cited behavior at `// Procurement-to-Pay: GR-IR accrual on goods receipt GoodsReceived::class => [ PostGrIrOnGoodsReceipt::class,`",mapped,
plan-sections-0-through-4,351,PostGrIrOnGoodsReceipt.php:26-56,PostGrIrOnGoodsReceipt.php,26-56,apps/api/app/Modules/Accounting/Listeners/PostGrIrOnGoodsReceipt.php,26-56,PostGrIrOnGoodsReceipt,"PostGrIrOnGoodsReceipt anchors the cited behavior at `{ public function __construct( private readonly GeneralLedgerService $glService, ) {}`",mapped,
plan-sections-0-through-4,353,GoodsReceiptService.php:241-244,GoodsReceiptService.php,241-244,apps/api/app/Modules/Inventory/Application/Services/GoodsReceiptService.php,242-245,post(),"post() anchors the cited behavior at `return $this->costLock->acquire( $purchaseOrder->tenant_id, $purchaseOrder->company_id, $productIds,`",mapped,
plan-sections-0-through-4,360,GoodsReceiptService.php:202,GoodsReceiptService.php,202,apps/api/app/Modules/Inventory/Application/Services/GoodsReceiptService.php,203,post(),"post() anchors the cited behavior at `public function post(GoodsReceipt $receipt, string $actorId, ?string $destinationLocationId = null, bool $failClosedGrir = false): GoodsReceipt`",mapped,
plan-sections-0-through-4,366,ReturnNoteService.php:698-712,ReturnNoteService.php,698-712,apps/api/app/Modules/Document/Domain/Services/ReturnNoteService.php,714-734,getOriginalCost(),"getOriginalCost() anchors the cited behavior at `{ // If return note references source document, get cost from there. // // NOTE (DPA Wave 3 §0b.3): on production data this branch is dead — // every writer of `document_lines.landed_unit_cost` is purchase-side, so`",mapped,
plan-sections-0-through-4,368,PurchaseOrderController.php:127,PurchaseOrderController.php,127,apps/api/app/Modules/Document/Presentation/Controllers/PurchaseOrderController.php,127,normalizePurchaseLine(),"normalizePurchaseLine() anchors the cited behavior at `$line['landed_unit_cost'] = CurrencyScale::bcformatStrict(bcdiv($lineTotal, $quantity, $this->scale() + 4), 6);`",mapped,
plan-sections-0-through-4,369,StandaloneReceiptService.php:290,StandaloneReceiptService.php,290,apps/api/app/Modules/Procurement/Application/StandaloneReceiptService.php,290,createPurchaseOrderLine(),"createPurchaseOrderLine() anchors the cited behavior at `'landed_unit_cost' => CurrencyScale::bcformatStrict($unitPrice, 6),`",mapped,
plan-sections-0-through-4,369,LandedCostService.php:372,LandedCostService.php,372,apps/api/app/Modules/Inventory/Application/Services/LandedCostService.php,372,getAllocationBreakdown(),"getAllocationBreakdown() anchors the cited behavior at `'landed_unit_cost' => $line->landed_unit_cost ?? $line->unit_price,`",mapped,
plan-sections-0-through-4,370,DocumentAdditionalCostController.php:152,DocumentAdditionalCostController.php,152,apps/api/app/Http/Controllers/Api/DocumentAdditionalCostController.php,152,landedCostBreakdown(),"landedCostBreakdown() anchors the cited behavior at `'landed_unit_cost' => $landedUnitCost,`",mapped,
plan-sections-0-through-4,370,GoodsReceiptService.php:177,GoodsReceiptService.php,177,apps/api/app/Modules/Inventory/Application/Services/GoodsReceiptService.php,178,createDraft(),"createDraft() anchors the cited behavior at `'landed_unit_cost' => null,`",mapped,
plan-sections-0-through-4,371,BackfillGoodsReceiptsCommand.php:473,BackfillGoodsReceiptsCommand.php,473,apps/api/app/Console/Commands/BackfillGoodsReceiptsCommand.php,473,createReceiptLine(),"createReceiptLine() anchors the cited behavior at `'landed_unit_cost' => CurrencyScale::bcround($basis, 6),`",mapped,
plan-sections-0-through-4,379,app/Modules/Inventory/Domain/StockMovement.php:182-192,app/Modules/Inventory/Domain/StockMovement.php,182-192,apps/api/app/Modules/Inventory/Domain/StockMovement.php,182-192,directionForRow(),"directionForRow() anchors the cited behavior at `public function directionForRow(): string { $cmp = bccomp((string) $this->quantity_after, (string) $this->quantity_before, 4); return match (true) {`",mapped,
plan-sections-0-through-4,388,GeneralLedgerService.php:3404,GeneralLedgerService.php,3404,apps/api/app/Modules/Accounting/Domain/Services/GeneralLedgerService.php,3669,createPOSPaymentEntry(),"createPOSPaymentEntry() anchors the cited behavior at `'entry_date' => $receipt->posted_at,`",mapped,
plan-sections-0-through-4,389,PosCoreReceiptProjection.php:274,PosCoreReceiptProjection.php,274,apps/api/app/Modules/POS/Application/Projections/PosCoreReceiptProjection.php,293,apply(),"apply() anchors the cited behavior at `$postedAt = $event->event_time_device;`",mapped,
plan-sections-0-through-4,390,GeneralLedgerService.php:4438,GeneralLedgerService.php,4438,apps/api/app/Modules/Accounting/Domain/Services/GeneralLedgerService.php,4703,createInventoryWriteOffEntry(),"createInventoryWriteOffEntry() anchors the cited behavior at `'entry_date' => now()->toDateString(),`",mapped,
plan-sections-0-through-4,398,GeneralLedgerService.php:4544-4546,GeneralLedgerService.php,4544-4546,apps/api/app/Modules/Accounting/Domain/Services/GeneralLedgerService.php,4809-4811,reverseInventoryWriteOffEntry(),"reverseInventoryWriteOffEntry() anchors the cited behavior at `'source_type' => 'batch_write_off_reversal', 'journal_code' => JournalCode::fromSourceType('batch_write_off_reversal')->value, 'source_id' => $reversalMovementId,`",mapped,
plan-sections-0-through-4,401,MovementReason.php:63-75,MovementReason.php,63-75,apps/api/app/Modules/Inventory/Domain/Enums/MovementReason.php,63-75,affectsCOGS(),"affectsCOGS() anchors the cited behavior at `public function affectsCOGS(): bool { return match ($this) { self::Delivery => true, self::CustomerReturn => true,`",mapped,
plan-sections-0-through-4,406,Product.php:314-317,Product.php,314-317,apps/api/app/Modules/Product/Domain/Product.php,322-325,resolveMovementUnitCost(),"resolveMovementUnitCost() anchors the cited behavior at `public function resolveMovementUnitCost(): string { return (string) ($this->cost_price ?? '0.00'); }`",mapped,
plan-sections-0-through-4,414,app/Modules/POS/routes.php:164-171,app/Modules/POS/routes.php,164-171,apps/api/app/Modules/POS/routes.php,164-171,"routes.php file scope","routes.php file scope anchors the cited behavior at `Route::post('/pos/receipts', function () { return response()->json([ 'error' => [ 'code' => 'NEW_SALE_AUTHORING_RETIRED', 'message' => 'POST /api/v1/pos/receipts is retired for new-sale SALE_RECEIPT authoring per fiscal Phase 1 §14.2. Receipts are now device-authored and ingested via POST /api/v1/pos/sync/fiscal-events`",mapped,
plan-sections-0-through-4,415,routes_orders.php:43-50,routes_orders.php,43-50,apps/api/app/Modules/POS/routes_orders.php,43-50,"routes_orders.php file scope","routes_orders.php file scope anchors the cited behavior at `Route::post('/pos/orders/{id}/close', function (string $id) { return response()->json([ 'error' => [ 'code' => 'NEW_SALE_AUTHORING_RETIRED', 'message' => 'POST /api/v1/pos/orders/{id}/close is retired for new-sale SALE_RECEIPT authoring per fiscal Phase 1 §14.2. Receipts are now device-authored and ingested via POST /a`",mapped,
plan-sections-0-through-4,424,vendor/laravel/framework/src/Illuminate/Database/DatabaseTransactionsManager.php:243-246,vendor/laravel/framework/src/Illuminate/Database/DatabaseTransactionsManager.php,243-246,apps/api/vendor/laravel/framework/src/Illuminate/Database/DatabaseTransactionsManager.php,243-246,afterCommitCallbacksShouldBeExecuted(),"afterCommitCallbacksShouldBeExecuted() anchors the cited behavior at `public function afterCommitCallbacksShouldBeExecuted($level) { return $level === 0; }`",mapped,
plan-sections-0-through-4,427,vendor/.../Foundation/Testing/RefreshDatabase.php:127-149,vendor/.../Foundation/Testing/RefreshDatabase.php,127-149,apps/api/vendor/laravel/framework/src/Illuminate/Foundation/Testing/RefreshDatabase.php,127-149,beginDatabaseTransaction(),"beginDatabaseTransaction() anchors the cited behavior at `public function beginDatabaseTransaction() { $database = $this->app->make('db'); $connections = $this->connectionsToTransact();`",mapped,
plan-sections-0-through-4,430,tests/Feature/Accounting/StockMovementGLIntegrationTest.php:323-332,tests/Feature/Accounting/StockMovementGLIntegrationTest.php,323-332,apps/api/tests/Feature/Accounting/StockMovementGLIntegrationTest.php,323-332,test_invoice_posted_listener_creates_posted_cogs_journal_entry(),"test_invoice_posted_listener_creates_posted_cogs_journal_entry() anchors the cited behavior at `public function test_invoice_posted_listener_creates_posted_cogs_journal_entry(): void { $product = $this->createPhysicalProduct('50.00'); $invoice = $this->createPostedInvoiceWithProducts([ ['product' => $product, 'quantity' => '2', 'unit_price' => '100.00'],`",mapped,
plan-sections-0-through-4,440,docs/handoff/HANDOVER-dpa-session2-2026-08-09.md:100,docs/handoff/HANDOVER-dpa-session2-2026-08-09.md,100,/Users/houssamr/Projects/syneriva/apps/erp/docs/handoff/HANDOVER-dpa-session2-2026-08-09.md,100,"section 7. Routed to the MAIN session (do not absorb)","section 7. Routed to the MAIN session (do not absorb) anchors the cited behavior at `T13 `fiscal:verify-chains` false-tamper P1 → launch fiscal-verifier gate. The 42-entry`",mapped,
plan-sections-0-through-4,458,DeliveryNoteService.php:242-244,DeliveryNoteService.php,242-244,apps/api/app/Modules/Document/Domain/Services/DeliveryNoteService.php,252-254,issueStock(),"issueStock() anchors the cited behavior at `foreach ($deliveryNote->lines as $line) { // D-19 / T4: ONE physical predicate. The former guard read the // PHANTOM `is_service` (§0.15) and therefore issued stock for`",mapped,
plan-sections-0-through-4,463,WeightedAverageCostService.php:429,WeightedAverageCostService.php,429,apps/api/app/Modules/Inventory/Application/Services/WeightedAverageCostService.php,443,recordSale(),"recordSale() anchors the cited behavior at `'occurred_at' => now(),`",mapped,
plan-sections-0-through-4,468,PosCoreReceiptProjection.php:1777,PosCoreReceiptProjection.php,1777,apps/api/app/Modules/POS/Application/Projections/PosCoreReceiptProjection.php,1870,decrementStock(),"decrementStock() anchors the cited behavior at `'quantity' => $quantity,`",mapped,
plan-sections-0-through-4,495,PosCoreReceiptProjection.php:1853-1865,PosCoreReceiptProjection.php,1853-1865,apps/api/app/Modules/POS/Application/Projections/PosCoreReceiptProjection.php,1953-1965,restockForLines(),"restockForLines() anchors the cited behavior at `if ($disposition === ReturnLineDisposition::Scrap) { $this->applyScrapDisposition( receiptId: $receiptId, event: $event, terminal: $terminal,`",mapped,
plan-sections-0-through-4,499,ReturnScrapWriteOffService.php:191-215,ReturnScrapWriteOffService.php,191-215,apps/api/app/Modules/POS/Application/Services/ReturnScrapWriteOffService.php,191-215,writeOff(),"writeOff() anchors the cited behavior at `$this->glService->createInventoryWriteOffEntry( companyId: $companyId, // The `batchNumber` parameter is the free-text source label the GL // narrative interpolates; a POS scrap has no lot, so it carries the // return receipt number instead. `source_type` stays`",mapped,
plan-sections-0-through-4,501,GeneralLedgerService.php:3257,GeneralLedgerService.php,3257,apps/api/app/Modules/Accounting/Domain/Services/GeneralLedgerService.php,3522,sealAndPersistEntry(),"sealAndPersistEntry() anchors the cited behavior at `DB::statement('SELECT pg_advisory_xact_lock(hashtextextended(?, 0))', [$entry->company_id]);`",mapped,
plan-sections-0-through-4,505,PosCoreReceiptProjection.php:2074,PosCoreReceiptProjection.php,2074,apps/api/app/Modules/POS/Application/Projections/PosCoreReceiptProjection.php,2174,restockStock(),"restockStock() anchors the cited behavior at `$stockLevel = $stockLevelQuery->lockForUpdate()->first();`",mapped,
plan-sections-0-through-4,511,ApplyFiscalEventProjectionJob.php:158,ApplyFiscalEventProjectionJob.php,158,apps/api/app/Modules/Fiscal/Application/Jobs/ApplyFiscalEventProjectionJob.php,158,ApplyFiscalEventProjectionJob,"ApplyFiscalEventProjectionJob anchors the cited behavior at `public int $tries = 5;`",mapped,
plan-sections-0-through-4,528,ReturnScrapWriteOffService.php:216-227,ReturnScrapWriteOffService.php,216-227,apps/api/app/Modules/POS/Application/Services/ReturnScrapWriteOffService.php,216-227,writeOff(),"writeOff() anchors the cited behavior at `// ── GL ORDERING DEPENDENCY (gate inv-I1) ────────────────────────── // This posting is economically correct TODAY only because two other // postings are absent, and they must land TOGETHER or this breaks: // * POS COGS-at-exit (a POS sale currently posts no COGS) — landing`",mapped,
plan-sections-0-through-4,539,DeliveryNoteService.php:78,DeliveryNoteService.php,78,apps/api/app/Modules/Document/Domain/Services/DeliveryNoteService.php,88,confirm(),"confirm() anchors the cited behavior at `return DB::transaction(function () use ($deliveryNote): Document {`",mapped,
plan-sections-0-through-4,539,DeliveryNoteService.php:113-117,DeliveryNoteService.php,113-117,apps/api/app/Modules/Document/Domain/Services/DeliveryNoteService.php,123-127,confirmWithFiscalChain(),"confirmWithFiscalChain() anchors the cited behavior at `// Set quantity_delivered on each line to match quantity (full delivery) foreach ($deliveryNote->lines as $line) { $line->update([ 'quantity_delivered' => $line->quantity, ]);`",mapped,
plan-sections-0-through-4,539,DocumentPostingService.php:446,DocumentPostingService.php,446,apps/api/app/Modules/Document/Domain/Services/DocumentPostingService.php,468,postWithFiscalChain(),"postWithFiscalChain() anchors the cited behavior at `->lockForUpdate()`",mapped,
plan-sections-0-through-4,545,DocumentPostingService.php:485-488,DocumentPostingService.php,485-488,apps/api/app/Modules/Document/Domain/Services/DocumentPostingService.php,507-510,postWithFiscalChain(),"postWithFiscalChain() anchors the cited behavior at `// to prevent listener failures from rolling back the fiscal chain) DB::afterCommit(function () use ($document, $postedAt): void { $this->dispatchPostedEvent($document, $postedAt->toIso8601String()); });`",mapped,
plan-sections-0-through-4,570,FranceChartOfAccountsSeeder.php:281,FranceChartOfAccountsSeeder.php,281,apps/api/database/seeders/FranceChartOfAccountsSeeder.php,289,aware,"aware anchors the cited behavior at `'system_purpose' => SystemAccountPurpose::CostOfGoodsSold->value, 'is_system' => true],`",mapped,
plan-sections-0-through-4,570,TunisiaChartOfAccountsSeeder.php:235,TunisiaChartOfAccountsSeeder.php,235,apps/api/database/seeders/TunisiaChartOfAccountsSeeder.php,235,getAccountsDefinition(),"getAccountsDefinition() anchors the cited behavior at `'system_purpose' => SystemAccountPurpose::CostOfGoodsSold->value, 'is_system' => true],`",mapped,
