method,uri,controller,action,middleware_permission,module_gate,controller_check_permissions,classification,notes
GET|HEAD,/api/v1/reports/trial-balance,App\Modules\Accounting\Presentation\Controllers\ReportsController,trialBalance,reports.financial,,formrequest[GetTrialBalanceRequest]:OPEN(returns true),MIDDLEWARE,
GET|HEAD,/api/v1/reports/profit-loss,App\Modules\Accounting\Presentation\Controllers\ReportsController,profitLoss,reports.financial,,formrequest[GetProfitLossRequest]:OPEN(returns true),MIDDLEWARE,
GET|HEAD,/api/v1/reports/balance-sheet,App\Modules\Accounting\Presentation\Controllers\ReportsController,balanceSheet,reports.financial,,formrequest[GetBalanceSheetRequest]:OPEN(returns true),MIDDLEWARE,
GET|HEAD,/api/v1/reports/cash-movements,App\Modules\Accounting\Presentation\Controllers\ReportsController,cashMovements,reports.operational,,formrequest[GetCashMovementsRequest]:OPEN(returns true),MIDDLEWARE,
GET|HEAD,/api/v1/reports/aged-receivables,App\Modules\Accounting\Presentation\Controllers\ReportsController,agedReceivables,reports.operational,,formrequest[GetAgedReceivablesRequest]:CHECK(non-permission-string),MIDDLEWARE,also has a secondary controller/FormRequest/service-level check (defense in depth)
GET|HEAD,/api/v1/reports/aged-payables,App\Modules\Accounting\Presentation\Controllers\ReportsController,agedPayables,reports.operational,,formrequest[GetAgedPayablesRequest]:CHECK(non-permission-string),MIDDLEWARE,also has a secondary controller/FormRequest/service-level check (defense in depth)
GET|HEAD,/api/v1/reports/upcoming-payments,App\Modules\Accounting\Presentation\Controllers\ReportsController,upcomingPayments,reports.operational,,formrequest[GetUpcomingPaymentsRequest]:OPEN(returns true),MIDDLEWARE,
GET|HEAD,/api/v1/reports/lane-separation,App\Modules\Accounting\Presentation\Controllers\ReportsController,laneSeparation,reports.financial,,service[InvoicedBeforeDeliveryScanner::scan]:Gate::,MIDDLEWARE,also has a secondary controller/FormRequest/service-level check (defense in depth)
GET|HEAD,/api/v1/reports/finance-summary,App\Modules\Accounting\Presentation\Controllers\ReportsController,financeSummary,reports.financial,,,MIDDLEWARE,
GET|HEAD,/api/v1/reports/sales/by-location,App\Modules\Accounting\Presentation\Controllers\ReportsController,salesByLocation,dashboard.owner,,formrequest[GetOwnerSalesReportRequest]:OPEN(returns true),MIDDLEWARE,
GET|HEAD,/api/v1/reports/sales/top-skus,App\Modules\Accounting\Presentation\Controllers\ReportsController,topSkus,dashboard.owner,,formrequest[GetOwnerSalesReportRequest]:OPEN(returns true),MIDDLEWARE,
GET|HEAD,/api/v1/reports/sales/revenue-by-category,App\Modules\Accounting\Presentation\Controllers\ReportsController,revenueByCategory,dashboard.owner,,formrequest[GetOwnerSalesReportRequest]:OPEN(returns true),MIDDLEWARE,
GET|HEAD,/api/v1/reports/sales/payment-method-breakdown,App\Modules\Accounting\Presentation\Controllers\ReportsController,paymentMethodBreakdown,dashboard.owner,,formrequest[GetOwnerSalesReportRequest]:OPEN(returns true),MIDDLEWARE,
GET|HEAD,/api/v1/reports/stock/alerts,App\Modules\Accounting\Presentation\Controllers\ReportsController,stockAlerts,dashboard.owner,,formrequest[GetOwnerStockAlertsRequest]:OPEN(returns true),MIDDLEWARE,
GET|HEAD,/api/v1/reports/cash-register/reconciliation,App\Modules\Accounting\Presentation\Controllers\ReportsController,cashRegisterReconciliation,dashboard.owner,,formrequest[GetOwnerCashReconciliationRequest]:OPEN(returns true),MIDDLEWARE,
GET|HEAD,/api/v1/reports/sales/summary,App\Modules\Accounting\Presentation\Controllers\ReportsController,salesSummary,dashboard.owner,,formrequest[GetOwnerSalesReportRequest]:OPEN(returns true),MIDDLEWARE,
GET|HEAD,/api/v1/reports/sales/live,App\Modules\Accounting\Presentation\Controllers\ReportsController,liveSales,dashboard.owner,,,MIDDLEWARE,
GET|HEAD,/api/v1/workshop/bundles/applicable,App\Modules\Workshop\Bundle\Presentation\Controllers\BundleApplicableController,index,,Workshop,controller:workshop-bundles.view,CONTROLLER,
GET|HEAD,/api/v1/workshop/bundles,App\Modules\Workshop\Bundle\Presentation\Controllers\BundleController,index,,Workshop,controller:workshop-bundles.view,CONTROLLER,
POST,/api/v1/workshop/bundles,App\Modules\Workshop\Bundle\Presentation\Controllers\BundleController,store,,Workshop,formrequest[StoreBundleRequest]:CHECK:workshop-bundles.manage,FORMREQUEST,
GET|HEAD,/api/v1/workshop/bundles/{id},App\Modules\Workshop\Bundle\Presentation\Controllers\BundleController,show,,Workshop,controller:workshop-bundles.view,CONTROLLER,
PATCH,/api/v1/workshop/bundles/{id},App\Modules\Workshop\Bundle\Presentation\Controllers\BundleController,update,,Workshop,formrequest[UpdateBundleRequest]:CHECK:workshop-bundles.manage,FORMREQUEST,
DELETE,/api/v1/workshop/bundles/{id},App\Modules\Workshop\Bundle\Presentation\Controllers\BundleController,destroy,,Workshop,controller:workshop-bundles.manage,CONTROLLER,
GET|HEAD,/api/v1/workshop/bundles/{id}/expansion,App\Modules\Workshop\Bundle\Presentation\Controllers\BundleExpansionController,show,,Workshop,controller:workshop-bundles.view,CONTROLLER,
POST,/api/v1/workshop/bundles/{id}/components,App\Modules\Workshop\Bundle\Presentation\Controllers\BundleComponentController,store,,Workshop,formrequest[AddComponentRequest]:CHECK:workshop-bundles.manage,FORMREQUEST,
PATCH,/api/v1/workshop/bundles/{id}/components/{componentId},App\Modules\Workshop\Bundle\Presentation\Controllers\BundleComponentController,update,,Workshop,formrequest[PatchComponentRequest]:CHECK:workshop-bundles.manage,FORMREQUEST,
DELETE,/api/v1/workshop/bundles/{id}/components/{componentId},App\Modules\Workshop\Bundle\Presentation\Controllers\BundleComponentController,destroy,,Workshop,controller:workshop-bundles.manage,CONTROLLER,
PUT,/api/v1/workshop/bundles/{id}/vehicle-applicabilities,App\Modules\Workshop\Bundle\Presentation\Controllers\BundleApplicabilityController,replace,,Workshop,formrequest[SetApplicabilitiesRequest]:CHECK:workshop-bundles.manage,FORMREQUEST,
GET|HEAD,/api/v1/workshop/work-orders,App\Modules\Workshop\WorkOrder\Presentation\Controllers\WorkOrderController,index,,Workshop,"controller:work-orders.view,work-orders.view_financials",CONTROLLER,
POST,/api/v1/workshop/work-orders,App\Modules\Workshop\WorkOrder\Presentation\Controllers\WorkOrderController,store,,Workshop,controller:work-orders.view_financials | formrequest[CreateWorkOrderRequest]:CHECK:work-orders.create,CONTROLLER,
GET|HEAD,/api/v1/workshop/work-orders/{id},App\Modules\Workshop\WorkOrder\Presentation\Controllers\WorkOrderController,show,,Workshop,"controller:work-orders.view,work-orders.view_financials",CONTROLLER,
PATCH,/api/v1/workshop/work-orders/{id},App\Modules\Workshop\WorkOrder\Presentation\Controllers\WorkOrderController,update,,Workshop,controller:work-orders.view_financials | formrequest[UpdateWorkOrderRequest]:CHECK:work-orders.update,CONTROLLER,
POST,/api/v1/workshop/work-orders/{id}/lines,App\Modules\Workshop\WorkOrder\Presentation\Controllers\WorkOrderLineController,store,,Workshop,formrequest[AddLineRequest]:CHECK:work-orders.update,FORMREQUEST,
POST,/api/v1/workshop/work-orders/{id}/lines/bundle,App\Modules\Workshop\WorkOrder\Presentation\Controllers\WorkOrderLineController,storeBundle,,Workshop,formrequest[AddBundleRequest]:CHECK:work-orders.update,FORMREQUEST,
PATCH,/api/v1/workshop/work-orders/{id}/lines/{lineId},App\Modules\Workshop\WorkOrder\Presentation\Controllers\WorkOrderLineController,update,,Workshop,formrequest[UpdateLineRequest]:CHECK:work-orders.update,FORMREQUEST,
DELETE,/api/v1/workshop/work-orders/{id}/lines/{lineId},App\Modules\Workshop\WorkOrder\Presentation\Controllers\WorkOrderLineController,destroy,,Workshop,controller:work-orders.update,CONTROLLER,
PUT,/api/v1/workshop/work-orders/{id}/lines/reorder,App\Modules\Workshop\WorkOrder\Presentation\Controllers\WorkOrderLineController,reorder,,Workshop,formrequest[ReorderLinesRequest]:CHECK:work-orders.update,FORMREQUEST,
POST,/api/v1/workshop/work-orders/{id}/assignments,App\Modules\Workshop\WorkOrder\Presentation\Controllers\WorkOrderAssignmentController,store,,Workshop,formrequest[AssignTechnicianRequest]:CHECK:work-orders.assign,FORMREQUEST,
DELETE,/api/v1/workshop/work-orders/{id}/assignments/{assignmentId},App\Modules\Workshop\WorkOrder\Presentation\Controllers\WorkOrderAssignmentController,destroy,,Workshop,controller:work-orders.assign,CONTROLLER,
PUT,/api/v1/workshop/work-orders/{id}/primary-technician,App\Modules\Workshop\WorkOrder\Presentation\Controllers\WorkOrderAssignmentController,setPrimary,,Workshop,formrequest[SetPrimaryTechnicianRequest]:CHECK:work-orders.assign,FORMREQUEST,
POST,/api/v1/workshop/work-orders/{id}/approval,App\Modules\Workshop\WorkOrder\Presentation\Controllers\WorkOrderTransitionController,approve,,Workshop,formrequest[CaptureApprovalRequest]:CHECK:work-orders.approve,FORMREQUEST,
POST,/api/v1/workshop/work-orders/{id}/transition,App\Modules\Workshop\WorkOrder\Presentation\Controllers\WorkOrderTransitionController,transition,,Workshop,formrequest[TransitionRequest]:CHECK:work-orders.transition,FORMREQUEST,
POST,/api/v1/workshop/work-orders/{id}/cancel,App\Modules\Workshop\WorkOrder\Presentation\Controllers\WorkOrderTransitionController,cancel,,Workshop,formrequest[CancelRequest]:CHECK:work-orders.cancel,FORMREQUEST,
POST,/api/v1/workshop/work-orders/{id}/complete,App\Modules\Workshop\WorkOrder\Presentation\Controllers\WorkOrderTransitionController,complete,,Workshop,formrequest[CompleteRequest]:CHECK:work-orders.complete,FORMREQUEST,
GET|HEAD,/api/v1/workshop/technicians,App\Modules\Workshop\Technician\Presentation\Controllers\TechnicianProfileController,index,workshop.technicians.view,Workshop,,MIDDLEWARE,
GET|HEAD,/api/v1/workshop/technicians/available,App\Modules\Workshop\Technician\Presentation\Controllers\TechnicianProfileController,available,workshop.technicians.view,Workshop,,MIDDLEWARE,
GET|HEAD,/api/v1/workshop/technicians/{id},App\Modules\Workshop\Technician\Presentation\Controllers\TechnicianProfileController,show,workshop.technicians.view,Workshop,,MIDDLEWARE,
GET|HEAD,/api/v1/workshop/technicians/{technicianId}/certifications,App\Modules\Workshop\Technician\Presentation\Controllers\TechnicianCertificationController,index,workshop.technicians.view,Workshop,,MIDDLEWARE,
POST,/api/v1/workshop/technicians/{technicianId}/certifications,App\Modules\Workshop\Technician\Presentation\Controllers\TechnicianCertificationController,store,workshop.technicians.manage_certifications,Workshop,formrequest[StoreCertificationRequest]:CHECK:workshop.technicians.manage_certifications,MIDDLEWARE,also has a secondary controller/FormRequest/service-level check (defense in depth)
PATCH,/api/v1/workshop/technicians/{technicianId}/certifications/{certificationId},App\Modules\Workshop\Technician\Presentation\Controllers\TechnicianCertificationController,update,workshop.technicians.manage_certifications,Workshop,formrequest[UpdateCertificationRequest]:CHECK:workshop.technicians.manage_certifications,MIDDLEWARE,also has a secondary controller/FormRequest/service-level check (defense in depth)
DELETE,/api/v1/workshop/technicians/{technicianId}/certifications/{certificationId},App\Modules\Workshop\Technician\Presentation\Controllers\TechnicianCertificationController,destroy,workshop.technicians.manage_certifications,Workshop,,MIDDLEWARE,
GET|HEAD,/api/v1/workshop/technicians/{technicianId}/time-off,App\Modules\Workshop\Technician\Presentation\Controllers\TechnicianTimeOffController,index,,Workshop,controller:workshop.technicians.view,CONTROLLER,
POST,/api/v1/workshop/technicians/{technicianId}/time-off,App\Modules\Workshop\Technician\Presentation\Controllers\TechnicianTimeOffController,store,workshop.technicians.manage_time_off,Workshop,formrequest[StoreTimeOffRequest]:CHECK:workshop.technicians.manage_time_off,MIDDLEWARE,also has a secondary controller/FormRequest/service-level check (defense in depth)
PATCH,/api/v1/workshop/technicians/{technicianId}/time-off/{timeOffId},App\Modules\Workshop\Technician\Presentation\Controllers\TechnicianTimeOffController,update,workshop.technicians.manage_time_off,Workshop,formrequest[UpdateTimeOffRequest]:CHECK:workshop.technicians.manage_time_off,MIDDLEWARE,also has a secondary controller/FormRequest/service-level check (defense in depth)
DELETE,/api/v1/workshop/technicians/{technicianId}/time-off/{timeOffId},App\Modules\Workshop\Technician\Presentation\Controllers\TechnicianTimeOffController,destroy,workshop.technicians.manage_time_off,Workshop,,MIDDLEWARE,
GET|HEAD,/api/v1/workshop/technicians/{technicianId}/time-entries,App\Modules\Workshop\Technician\Presentation\Controllers\TechnicianTimeEntryController,index,workshop.technicians.view,Workshop,,MIDDLEWARE,
POST,/api/v1/workshop/technicians/{technicianId}/time-entries,App\Modules\Workshop\Technician\Presentation\Controllers\TechnicianTimeEntryController,store,,Workshop,controller:workshop.technicians.manage_time_entries | formrequest[StoreTimeEntryRequest]:CHECK(non-permission-string),CONTROLLER,
PATCH,/api/v1/workshop/technicians/{technicianId}/time-entries/{timeEntryId},App\Modules\Workshop\Technician\Presentation\Controllers\TechnicianTimeEntryController,update,workshop.technicians.manage_time_entries,Workshop,formrequest[UpdateTimeEntryRequest]:CHECK:workshop.technicians.manage_time_entries,MIDDLEWARE,also has a secondary controller/FormRequest/service-level check (defense in depth)
DELETE,/api/v1/workshop/technicians/{technicianId}/time-entries/{timeEntryId},App\Modules\Workshop\Technician\Presentation\Controllers\TechnicianTimeEntryController,destroy,workshop.technicians.manage_time_entries,Workshop,,MIDDLEWARE,
GET|HEAD,/api/v1/workshop/payroll-exports,App\Modules\Workshop\Technician\Presentation\Controllers\PayrollExportController,index,workshop.payroll.view,Workshop,,MIDDLEWARE,
POST,/api/v1/workshop/payroll-exports,App\Modules\Workshop\Technician\Presentation\Controllers\PayrollExportController,generate,workshop.payroll.generate,Workshop,formrequest[GeneratePayrollExportRequest]:CHECK:workshop.payroll.generate,MIDDLEWARE,also has a secondary controller/FormRequest/service-level check (defense in depth)
GET|HEAD,/api/v1/expenses,App\Modules\Expense\Presentation\Controllers\ExpenseController,index,expenses.view,,,MIDDLEWARE,
GET|HEAD,/api/v1/expenses/linkable-invoices,App\Modules\Expense\Presentation\Controllers\ExpenseController,linkableInvoices,expenses.create,,,MIDDLEWARE,
GET|HEAD,/api/v1/expenses/linkable-operations,App\Modules\Expense\Presentation\Controllers\ExpenseController,linkableOperations,expenses.create,,,MIDDLEWARE,
GET|HEAD,/api/v1/expenses/analytics,App\Modules\Expense\Presentation\Controllers\ExpenseAnalyticsController,__invoke,expenses.view,,formrequest[ExpenseAnalyticsRequest]:OPEN(returns true),MIDDLEWARE,
GET|HEAD,/api/v1/expenses/export,App\Modules\Expense\Presentation\Controllers\ExpenseExportController,__invoke,expenses.export,,,MIDDLEWARE,
POST,/api/v1/expenses,App\Modules\Expense\Presentation\Controllers\ExpenseController,store,expenses.create,,formrequest[ExpenseRequest]:OPEN(returns true),MIDDLEWARE,
GET|HEAD,/api/v1/expenses/{id},App\Modules\Expense\Presentation\Controllers\ExpenseController,show,,,controller:view,POLICY,
PUT|PATCH,/api/v1/expenses/{id},App\Modules\Expense\Presentation\Controllers\ExpenseController,update,,,controller:update | formrequest[ExpenseRequest]:OPEN(returns true),POLICY,
DELETE,/api/v1/expenses/{id},App\Modules\Expense\Presentation\Controllers\ExpenseController,destroy,,,controller:delete,POLICY,
POST,/api/v1/expenses/{id}/post,App\Modules\Expense\Presentation\Controllers\ExpenseController,post,,,controller:post,POLICY,
POST,/api/v1/expenses/{id}/pay,App\Modules\Expense\Presentation\Controllers\ExpenseController,pay,expenses.pay,,formrequest[PayExpenseRequest]:OPEN(returns true),MIDDLEWARE,
POST,/api/v1/expenses/{id}/reverse,App\Modules\Expense\Presentation\Controllers\ExpenseController,reverse,,,controller:post,POLICY,
GET|HEAD,/api/v1/expense-recurrences,App\Modules\Expense\Presentation\Controllers\ExpenseRecurrenceController,index,expense-recurrences.view,,,MIDDLEWARE,
POST,/api/v1/expense-recurrences,App\Modules\Expense\Presentation\Controllers\ExpenseRecurrenceController,store,expense-recurrences.create,,formrequest[ExpenseRecurrenceRequest]:OPEN(returns true),MIDDLEWARE,
GET|HEAD,/api/v1/expense-recurrences/{id},App\Modules\Expense\Presentation\Controllers\ExpenseRecurrenceController,show,expense-recurrences.view,,,MIDDLEWARE,
PUT,/api/v1/expense-recurrences/{id},App\Modules\Expense\Presentation\Controllers\ExpenseRecurrenceController,update,expense-recurrences.update,,formrequest[ExpenseRecurrenceRequest]:OPEN(returns true),MIDDLEWARE,
DELETE,/api/v1/expense-recurrences/{id},App\Modules\Expense\Presentation\Controllers\ExpenseRecurrenceController,destroy,expense-recurrences.delete,,,MIDDLEWARE,
POST,/api/v1/expense-recurrences/{id}/pause,App\Modules\Expense\Presentation\Controllers\ExpenseRecurrenceController,pause,expense-recurrences.update,,,MIDDLEWARE,
POST,/api/v1/expense-recurrences/{id}/resume,App\Modules\Expense\Presentation\Controllers\ExpenseRecurrenceController,resume,expense-recurrences.update,,,MIDDLEWARE,
GET|HEAD,/api/v1/expense-categories,App\Modules\Expense\Presentation\Controllers\ExpenseCategoryController,index,expense-categories.view,,,MIDDLEWARE,
POST,/api/v1/expense-categories,App\Modules\Expense\Presentation\Controllers\ExpenseCategoryController,store,expense-categories.create,,formrequest[ExpenseCategoryRequest]:OPEN(returns true),MIDDLEWARE,
GET|HEAD,/api/v1/expense-categories/{id},App\Modules\Expense\Presentation\Controllers\ExpenseCategoryController,show,,,controller:view,POLICY,
PUT|PATCH,/api/v1/expense-categories/{id},App\Modules\Expense\Presentation\Controllers\ExpenseCategoryController,update,,,controller:update | formrequest[ExpenseCategoryRequest]:OPEN(returns true),POLICY,
DELETE,/api/v1/expense-categories/{id},App\Modules\Expense\Presentation\Controllers\ExpenseCategoryController,destroy,,,controller:delete,POLICY,
GET|HEAD,/api/v1/contacts,App\Modules\Contact\Presentation\Controllers\ContactController,index,contacts.view,,,MIDDLEWARE,
POST,/api/v1/contacts,App\Modules\Contact\Presentation\Controllers\ContactController,store,contacts.create,,formrequest[CreateContactRequest]:OPEN(returns true),MIDDLEWARE,
GET|HEAD,/api/v1/contacts/{id},App\Modules\Contact\Presentation\Controllers\ContactController,show,contacts.view,,,MIDDLEWARE,
PATCH,/api/v1/contacts/{id},App\Modules\Contact\Presentation\Controllers\ContactController,update,contacts.update,,formrequest[UpdateContactRequest]:OPEN(returns true),MIDDLEWARE,
DELETE,/api/v1/contacts/{id},App\Modules\Contact\Presentation\Controllers\ContactController,destroy,contacts.delete,,,MIDDLEWARE,
POST,/api/v1/contacts/{id}/link-party,App\Modules\Contact\Presentation\Controllers\ContactController,linkParty,contacts.update,,,MIDDLEWARE,
DELETE,/api/v1/contacts/{id}/unlink-party/{partyId},App\Modules\Contact\Presentation\Controllers\ContactController,unlinkParty,contacts.update,,,MIDDLEWARE,
POST,/api/v1/auth/login,App\Modules\Identity\Presentation\Controllers\AuthController,login,,,formrequest[LoginRequest]:OPEN(returns true),PUBLIC,
POST,/api/v1/auth/register,App\Modules\Identity\Presentation\Controllers\AuthController,register,,,formrequest[RegisterRequest]:OPEN(returns true),PUBLIC,
POST,/api/v1/auth/verify-email,App\Modules\Identity\Presentation\Controllers\AuthController,verifyEmail,,,formrequest[VerifyEmailRequest]:OPEN(returns true),PUBLIC,
POST,/api/v1/auth/forgot-password,App\Modules\Identity\Presentation\Controllers\AuthController,forgotPassword,,,formrequest[ForgotPasswordRequest]:OPEN(returns true),PUBLIC,
POST,/api/v1/auth/reset-password,App\Modules\Identity\Presentation\Controllers\AuthController,resetPassword,,,formrequest[ResetPasswordRequest]:OPEN(returns true),PUBLIC,
GET|HEAD,/api/v1/auth/me,App\Modules\Identity\Presentation\Controllers\AuthController,me,,,,AUTH_ONLY,
POST,/api/v1/auth/logout,App\Modules\Identity\Presentation\Controllers\AuthController,logout,,,,AUTH_ONLY,
POST,/api/v1/auth/logout-all,App\Modules\Identity\Presentation\Controllers\AuthController,logoutAll,,,,AUTH_ONLY,
POST,/api/v1/auth/resend-verification,App\Modules\Identity\Presentation\Controllers\AuthController,resendVerification,,,,AUTH_ONLY,
GET|HEAD,/api/v1/user/companies,App\Modules\Identity\Presentation\Controllers\UserController,companies,,,,AUTH_ONLY,
GET|HEAD,/api/v1/roles,App\Modules\Identity\Presentation\Controllers\RoleController,index,,,,AUTH_ONLY,
POST,/api/v1/roles,App\Modules\Identity\Presentation\Controllers\RoleController,store,,,formrequest[StoreRoleRequest]:CHECK:roles.manage,FORMREQUEST,
